label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
1	556 m^2	1.1557	Motor Sports	FERRET	923	1.2089	984	618	bIOTECHNOLOGY	1045	2	0.5677	0.7516	930
0	879 m^2	0.5112	volleyball	guinea pig	369	0.7471	1536	124	Bioinformatics	42	408	1.1522	0.1088	1562
2	686 m^2	0.8922	soccer	bird	870	0.564	211	1075	Games and Playable Media	698	337	1.2739	0.934	744
5	306 m^2	1.3504	football	rabbit	1018	0.9052	448	136	Bioengineering	263	369	1.0815	0.7222	936
4	117 m^2	0.8381	track & field	hamster	934	1.1097	911	1176	Human Computer Interaction	1271	1272	0.2833	0.5824	413
1	128 m^2	0.8185	motor sports	cat	769	0.5859	1040	854	Biotechnology	969	-74	1.0098	0.6212	598
0	N/A	-0.2992	volleyball	guinea pig	269	1.4168	795	366	Data Science	575	1347	0.6169	0.5979	961
3	879 m^2	0.7087	tennis	fish	1141	1.2668	520	1287	Computational Media	498	630	1.5454	0.3002	1014
3	699 m^2	0.2021	baseball	fish	970	0.4683	654	592	Statistics	1328	542	0.8596	-0.383	1117
5	172 m^2	0.9143	football	dog, rabbit	1082	0.2934	978	-304	Applied Mathematics	1397	297	0.9945	0.4081	1323
4	37 m^2	0.9318	golf	hamster	713	0.5108	923	538	Human Computer Interaction	572	951	-0.14	0.6189	454
1	291 m^2	0.7111	motor sports	ferret	889	0.5975	n/a	1095	Robotics Engineering	838	234	1.3175	1.2929	864
2	1117 m^2	0.8506	soccer	bird	828	0.8491	-142	661	Games and Playable Media	1208	875	0.8943	0.6044	673
4	57 m^2	0.7345	track & field	hamster	831	1.1094	1108	1465	Human Computer Interaction	1019	601	0.2917	0.7946	604
0	726 m^2	0.0289	badminton	guinea pig	500	0.7219	633	-186	Bioinformatics	None	407	0.5277	1.455	1204
0	1222 m^2	0.1747	badminton	guinea pig	321	0.866	689	358	Technology and Information Management	99	852	0.8155	0.9204	1332
2	770 m^2	1.36	soccer	pig	895	0.8137	445	609	Data Science	985	915	1.1666	0.5532	1041
4	616 m^2	0.862	ice hockey	hamster	938	0.7336	941	976	Human Computer Interaction	1146	1039	0.1779	1.0024	493
